status,master_id,company,company_norm,year,key,report_names,report_paths,question
matched,31,广东德美精细化工集团股份有限公司,广东德美精细化工集团股份有限公司,2019,广东德美精细化工集团股份有限公司#2019,2020-04-25__广东德美精细化工集团股份有限公司__002054__德美化工__2019年__年度报告.pdf,data/2020-04-25__广东德美精细化工集团股份有限公司__002054__德美化工__2019年__年度报告.pdf,请问，2019年德美化工的企业名称是什么?
matched,33,深圳市力合微电子股份有限公司,深圳市力合微电子股份有限公司,2020,深圳市力合微电子股份有限公司#2020,2021-04-23__深圳市力合微电子股份有限公司__688589__力合微__2020年__年度报告.pdf,data/2021-04-23__深圳市力合微电子股份有限公司__688589__力合微__2020年__年度报告.pdf,根据2020年的年报数据，力合微的公允价值变动收益是多少元?
matched,41,东华工程科技股份有限公司,东华工程科技股份有限公司,2019,东华工程科技股份有限公司#2019,2020-03-31__东华工程科技股份有限公司__002140__东华科技__2019年__年度报告.pdf,data/2020-03-31__东华工程科技股份有限公司__002140__东华科技__2019年__年度报告.pdf,请提供东华工程科技股份有限公司2019年的法定代表人。
matched,43,江西铜业股份有限公司,江西铜业股份有限公司,2019,江西铜业股份有限公司#2019,2020-03-31__江西铜业股份有限公司__600362__江西铜业__2019年__年度报告.pdf,data/2020-03-31__江西铜业股份有限公司__600362__江西铜业__2019年__年度报告.pdf,江西铜业在2019年的注册地址是什么？
matched,44,重庆农村商业银行股份有限公司,重庆农村商业银行股份有限公司,2019,重庆农村商业银行股份有限公司#2019,2020-03-27__重庆农村商业银行股份有限公司__601077__渝农商行__2019年__年度报告.pdf,data/2020-03-27__重庆农村商业银行股份有限公司__601077__渝农商行__2019年__年度报告.pdf,请问，重庆农村商业银行股份有限公司2019年年报数据中，利息收入是多少元?
matched,48,海信家电集团股份有限公司,海信家电集团股份有限公司,2019,海信家电集团股份有限公司#2019,2020-04-15__海信家电集团股份有限公司__000921__海信家电__2019年__年度报告.pdf,data/2020-04-15__海信家电集团股份有限公司__000921__海信家电__2019年__年度报告.pdf,2019年海信家电的注册地址是什么？
matched,49,惠州市德赛西威汽车电子股份有限公司,惠州市德赛西威汽车电子股份有限公司,2020,惠州市德赛西威汽车电子股份有限公司#2020,2021-04-14__惠州市德赛西威汽车电子股份有限公司__002920__德赛西威__2020年__年度报告.pdf,data/2021-04-14__惠州市德赛西威汽车电子股份有限公司__002920__德赛西威__2020年__年度报告.pdf,2020年德赛西威营业收入是多少元?
matched,50,西藏奇正藏药股份有限公司,西藏奇正藏药股份有限公司,2020,西藏奇正藏药股份有限公司#2020,2021-04-16__西藏奇正藏药股份有限公司__002287__奇正藏药__2020年__年度报告.pdf,data/2021-04-16__西藏奇正藏药股份有限公司__002287__奇正藏药__2020年__年度报告.pdf,根据2020年的年报数据，西藏奇正藏药股份有限公司的营业税金及附加是多少元?
matched,51,上海爱旭新能源股份有限公司,上海爱旭新能源股份有限公司,2020,上海爱旭新能源股份有限公司#2020,2021-03-16__上海爱旭新能源股份有限公司__600732__爱旭股份__2020年__年度报告.pdf,data/2021-03-16__上海爱旭新能源股份有限公司__600732__爱旭股份__2020年__年度报告.pdf,请提供爱旭股份2020年的博士及以上人数。
matched,53,甘肃亚盛实业(集团)股份有限公司,甘肃亚盛实业集团股份有限公司,2021,甘肃亚盛实业集团股份有限公司#2021,2022-04-20__甘肃亚盛实业集团股份有限公司__600108__亚盛集团__2021年__年度报告.pdf,data/2022-04-20__甘肃亚盛实业集团股份有限公司__600108__亚盛集团__2021年__年度报告.pdf,2021年亚盛集团的资产总计是多少元？
matched,55,广东宏川智慧物流股份有限公司,广东宏川智慧物流股份有限公司,2019,广东宏川智慧物流股份有限公司#2019,2020-03-28__广东宏川智慧物流股份有限公司__002930__宏川智慧__2019年__年度报告.pdf,data/2020-03-28__广东宏川智慧物流股份有限公司__002930__宏川智慧__2019年__年度报告.pdf,宏川智慧在2019年的法定代表人是谁?
matched,57,金财互联控股股份有限公司,金财互联控股股份有限公司,2021,金财互联控股股份有限公司#2021,2022-04-29__金财互联控股股份有限公司__002530__金财互联__2021年__年度报告.pdf,data/2022-04-29__金财互联控股股份有限公司__002530__金财互联__2021年__年度报告.pdf,2021年金财互联收回投资收到的现金是多少元?
matched,59,尤洛卡精准信息工程股份有限公司,尤洛卡精准信息工程股份有限公司,2021,尤洛卡精准信息工程股份有限公司#2021,2022-04-28__尤洛卡精准信息工程股份有限公司__300099__精准信息__2021年__年度报告.pdf,data/2022-04-28__尤洛卡精准信息工程股份有限公司__300099__精准信息__2021年__年度报告.pdf,精准信息2021年的其他非流动金融资产是多少元？
matched,63,山西安泰集团股份有限公司,山西安泰集团股份有限公司,2021,山西安泰集团股份有限公司#2021,2022-04-16__山西安泰集团股份有限公司__600408__安泰集团__2021年__年度报告.pdf,data/2022-04-16__山西安泰集团股份有限公司__600408__安泰集团__2021年__年度报告.pdf,请问安泰集团在2021年的营业成本是多少元？
matched,66,深圳市京泉华科技股份有限公司,深圳市京泉华科技股份有限公司,2019,深圳市京泉华科技股份有限公司#2019,2020-03-31__深圳市京泉华科技股份有限公司__002885__京泉华__2019年__年度报告.pdf,data/2020-03-31__深圳市京泉华科技股份有限公司__002885__京泉华__2019年__年度报告.pdf,京泉华在2019年的注册地址是什么？
matched,70,山东高速路桥集团股份有限公司,山东高速路桥集团股份有限公司,2021,山东高速路桥集团股份有限公司#2021,2022-04-26__山东高速路桥集团股份有限公司__000498__山东路桥__2021年__年度报告.pdf,data/2022-04-26__山东高速路桥集团股份有限公司__000498__山东路桥__2021年__年度报告.pdf,山东高速路桥集团股份有限公司2021年固定资产是多少元?
matched,72,江苏联瑞新材料股份有限公司,江苏联瑞新材料股份有限公司,2020,江苏联瑞新材料股份有限公司#2020,2021-04-21__江苏联瑞新材料股份有限公司__688300__联瑞新材__2020年__年度报告.pdf,data/2021-04-21__江苏联瑞新材料股份有限公司__688300__联瑞新材__2020年__年度报告.pdf,联瑞新材在2020年的综合收益总额是多少元?
matched,73,四川英杰电气股份有限公司,四川英杰电气股份有限公司,2019,四川英杰电气股份有限公司#2019,2020-04-17__四川英杰电气股份有限公司__300820__英杰电气__2019年__年度报告.pdf,data/2020-04-17__四川英杰电气股份有限公司__300820__英杰电气__2019年__年度报告.pdf,2019年四川英杰电气股份有限公司硕士人数是什么?
matched,75,北京超图软件股份有限公司,北京超图软件股份有限公司,2019,北京超图软件股份有限公司#2019,2020-04-10__北京超图软件股份有限公司__300036__超图软件__2019年__年度报告.pdf,data/2020-04-10__北京超图软件股份有限公司__300036__超图软件__2019年__年度报告.pdf,2019年北京超图软件股份有限公司公司网址是什么?
matched,76,宁波博威合金材料股份有限公司,宁波博威合金材料股份有限公司,2020,宁波博威合金材料股份有限公司#2020,2021-04-13__宁波博威合金材料股份有限公司__601137__博威合金__2020年__年度报告.pdf,data/2021-04-13__宁波博威合金材料股份有限公司__601137__博威合金__2020年__年度报告.pdf,博威合金在2020年的营业收入是多少元？
matched,78,深圳市金证科技股份有限公司,深圳市金证科技股份有限公司,2020,深圳市金证科技股份有限公司#2020,2021-04-22__深圳市金证科技股份有限公司__600446__金证股份__2020年__年度报告.pdf,data/2021-04-22__深圳市金证科技股份有限公司__600446__金证股份__2020年__年度报告.pdf,深圳市金证科技股份有限公司在2020年的利润总额达到了多少元?
matched,80,深圳市爱施德股份有限公司,深圳市爱施德股份有限公司,2020,深圳市爱施德股份有限公司#2020,2021-04-06__深圳市爱施德股份有限公司__002416__爱施德__2020年__年度报告.pdf,data/2021-04-06__深圳市爱施德股份有限公司__002416__爱施德__2020年__年度报告.pdf,爱施德2020年营业外支出是多少元?
matched,82,奥锐特药业股份有限公司,奥锐特药业股份有限公司,2020,奥锐特药业股份有限公司#2020,2021-04-20__奥锐特药业股份有限公司__605116__奥锐特__2020年__年度报告.pdf,data/2021-04-20__奥锐特药业股份有限公司__605116__奥锐特__2020年__年度报告.pdf,奥锐特2020年的销售费用是多少元?
matched,85,浙江奥康鞋业股份有限公司,浙江奥康鞋业股份有限公司,2021,浙江奥康鞋业股份有限公司#2021,2022-04-26__浙江奥康鞋业股份有限公司__603001__奥康国际__2021年__年度报告.pdf,data/2022-04-26__浙江奥康鞋业股份有限公司__603001__奥康国际__2021年__年度报告.pdf,浙江奥康鞋业股份有限公司2021年负债合计是多少元?
matched,87,珈伟新能源股份有限公司,珈伟新能源股份有限公司,2021,珈伟新能源股份有限公司#2021,2022-04-28__珈伟新能源股份有限公司__300317__珈伟新能__2021年__年度报告.pdf,data/2022-04-28__珈伟新能源股份有限公司__300317__珈伟新能__2021年__年度报告.pdf,珈伟新能在2021年的应收款项融资总额是多少元?
matched,89,广东世运电路科技股份有限公司,广东世运电路科技股份有限公司,2019,广东世运电路科技股份有限公司#2019,2020-04-15__广东世运电路科技股份有限公司__603920__世运电路__2019年__年度报告.pdf,data/2020-04-15__广东世运电路科技股份有限公司__603920__世运电路__2019年__年度报告.pdf,2019年世运电路的财务费用是多少元?
matched,90,北京赛微电子股份有限公司,北京赛微电子股份有限公司,2020,北京赛微电子股份有限公司#2020,2021-03-17__北京赛微电子股份有限公司__300456__赛微电子__2020年__年度报告.pdf,data/2021-03-17__北京赛微电子股份有限公司__300456__赛微电子__2020年__年度报告.pdf,2020年北京赛微电子股份有限公司博士及以上人数是什么?
matched,91,天津渤海化学股份有限公司,天津渤海化学股份有限公司,2020,天津渤海化学股份有限公司#2020,2021-03-18__天津渤海化学股份有限公司__600800__渤海化学__2020年__年度报告.pdf,data/2021-03-18__天津渤海化学股份有限公司__600800__渤海化学__2020年__年度报告.pdf,在2020年，渤海化学的公允价值变动收益是多少元？
matched,93,上海市北高新股份有限公司,上海市北高新股份有限公司,2019,上海市北高新股份有限公司#2019,2020-04-15__上海市北高新股份有限公司__600604__市北高新__2019年__年度报告.pdf,data/2020-04-15__上海市北高新股份有限公司__600604__市北高新__2019年__年度报告.pdf,2019年上海市北高新股份有限公司的技术人员数是什么?
matched,95,广州市昊志机电股份有限公司,广州市昊志机电股份有限公司,2021,广州市昊志机电股份有限公司#2021,2022-09-28__广州市昊志机电股份有限公司__300503__昊志机电__2021年__年度报告.pdf,data/2022-09-28__广州市昊志机电股份有限公司__300503__昊志机电__2021年__年度报告.pdf,昊志机电在2021年归属于母公司所有者的净利润是多少元？
matched,97,浙江圣达生物药业股份有限公司,浙江圣达生物药业股份有限公司,2020,浙江圣达生物药业股份有限公司#2020,2021-04-13__浙江圣达生物药业股份有限公司__603079__圣达生物__2020年__年度报告.pdf,data/2021-04-13__浙江圣达生物药业股份有限公司__603079__圣达生物__2020年__年度报告.pdf,浙江圣达生物药业股份有限公司2020年营业收入是多少元?
matched,98,财通证券股份有限公司,财通证券股份有限公司,2021,财通证券股份有限公司#2021,2022-04-29__财通证券股份有限公司__601108__财通证券__2021年__年度报告.pdf,data/2022-04-29__财通证券股份有限公司__601108__财通证券__2021年__年度报告.pdf,2021年财通证券股份有限公司利息支出是多少元?
matched,99,河南大有能源股份有限公司,河南大有能源股份有限公司,2021,河南大有能源股份有限公司#2021,2022-03-31__河南大有能源股份有限公司__600403__大有能源__2021年__年度报告.pdf,data/2022-03-31__河南大有能源股份有限公司__600403__大有能源__2021年__年度报告.pdf,大有能源在2021年的每股经营现金流量是多少元？
matched,103,深圳市麦捷微电子科技股份有限公司,深圳市麦捷微电子科技股份有限公司,2020,深圳市麦捷微电子科技股份有限公司#2020,2021-06-09__深圳市麦捷微电子科技股份有限公司__300319__麦捷科技__2020年__年度报告.pdf,data/2021-06-09__深圳市麦捷微电子科技股份有限公司__300319__麦捷科技__2020年__年度报告.pdf,深圳市麦捷微电子科技股份有限公司2020年的营业收入是多少元？
matched,105,无锡力芯微电子股份有限公司,无锡力芯微电子股份有限公司,2021,无锡力芯微电子股份有限公司#2021,2022-04-12__无锡力芯微电子股份有限公司__688601__力芯微__2021年__年度报告.pdf,data/2022-04-12__无锡力芯微电子股份有限公司__688601__力芯微__2021年__年度报告.pdf,力芯微在2021年的每股经营现金流量是多少元？
matched,107,深圳市海王生物工程股份有限公司,深圳市海王生物工程股份有限公司,2021,深圳市海王生物工程股份有限公司#2021,2022-04-29__深圳市海王生物工程股份有限公司__000078__海王生物__2021年__年度报告.pdf,data/2022-04-29__深圳市海王生物工程股份有限公司__000078__海王生物__2021年__年度报告.pdf,根据2021年的年报，深圳市海王生物工程股份有限公司收回投资收到的现金是多少元?
matched,109,长缆电工科技股份有限公司,长缆电工科技股份有限公司,2020,长缆电工科技股份有限公司#2020,2021-03-16__长缆电工科技股份有限公司__002879__长缆科技__2020年__年度报告.pdf,data/2021-03-16__长缆电工科技股份有限公司__002879__长缆科技__2020年__年度报告.pdf,长缆科技在2020年的博士及以上学历人数是多少?
matched,110,新疆机械研究院股份有限公司,新疆机械研究院股份有限公司,2021,新疆机械研究院股份有限公司#2021,2022-04-28__新疆机械研究院股份有限公司__300159__新研股份__2021年__年度报告.pdf,data/2022-04-28__新疆机械研究院股份有限公司__300159__新研股份__2021年__年度报告.pdf,新疆机械研究院股份有限公司2021年应收款项融资是多少元?
matched,111,红星美凯龙家居集团股份有限公司,红星美凯龙家居集团股份有限公司,2019,红星美凯龙家居集团股份有限公司#2019,2020-04-18__红星美凯龙家居集团股份有限公司__601828__美凯龙__2019年__年度报告.pdf,data/2020-04-18__红星美凯龙家居集团股份有限公司__601828__美凯龙__2019年__年度报告.pdf,2019年美凯龙办公地址是什么?
matched,113,润建股份有限公司,润建股份有限公司,2021,润建股份有限公司#2021,2022-04-26__润建股份有限公司__002929__润建股份__2021年__年度报告.pdf,data/2022-04-26__润建股份有限公司__002929__润建股份__2021年__年度报告.pdf,在2021年，润建股份有限公司的货币资金具体是多少元？
matched,115,广东绿岛风空气系统股份有限公司,广东绿岛风空气系统股份有限公司,2021,广东绿岛风空气系统股份有限公司#2021,2022-04-27__广东绿岛风空气系统股份有限公司__301043__绿岛风__2021年__年度报告.pdf,data/2022-04-27__广东绿岛风空气系统股份有限公司__301043__绿岛风__2021年__年度报告.pdf,请问2021年绿岛风的无形资产值是多少元?
matched,116,濮阳惠成电子材料股份有限公司,濮阳惠成电子材料股份有限公司,2019,濮阳惠成电子材料股份有限公司#2019,2020-03-27__濮阳惠成电子材料股份有限公司__300481__濮阳惠成__2019年__年度报告.pdf,data/2020-03-27__濮阳惠成电子材料股份有限公司__300481__濮阳惠成__2019年__年度报告.pdf,2019年濮阳惠成的外文名称是什么？
matched,120,深圳市证通电子股份有限公司,深圳市证通电子股份有限公司,2020,深圳市证通电子股份有限公司#2020,2021-06-05__深圳市证通电子股份有限公司__002197__证通电子__2020年__年度报告.pdf,data/2021-06-05__深圳市证通电子股份有限公司__002197__证通电子__2020年__年度报告.pdf,证通电子2020年营业税金及附加是多少元?
matched,122,探路者控股集团股份有限公司,探路者控股集团股份有限公司,2019,探路者控股集团股份有限公司#2019,2020-03-20__探路者控股集团股份有限公司__300005__探路者__2019年__年度报告.pdf,data/2020-03-20__探路者控股集团股份有限公司__300005__探路者__2019年__年度报告.pdf,我想知道2019年探路者的证券代码是什么?
matched,123,神州数码集团股份有限公司,神州数码集团股份有限公司,2019,神州数码集团股份有限公司#2019,2020-03-31__神州数码集团股份有限公司__000034__神州数码__2019年__年度报告.pdf,data/2020-03-31__神州数码集团股份有限公司__000034__神州数码__2019年__年度报告.pdf,神州数码集团股份有限公司在2019年的注册地址是何处？
matched,128,湖南黄金股份有限公司,湖南黄金股份有限公司,2019,湖南黄金股份有限公司#2019,2020-03-24__湖南黄金股份有限公司__002155__湖南黄金__2019年__年度报告.pdf,data/2020-03-24__湖南黄金股份有限公司__002155__湖南黄金__2019年__年度报告.pdf,湖南黄金股份有限公司2019年证券代码是什么?
matched,129,依米康科技集团股份有限公司,依米康科技集团股份有限公司,2020,依米康科技集团股份有限公司#2020,2021-03-20__依米康科技集团股份有限公司__300249__依米康__2020年__年度报告.pdf,data/2021-03-20__依米康科技集团股份有限公司__300249__依米康__2020年__年度报告.pdf,2020年依米康科技集团股份有限公司公允价值变动收益是多少元?
matched,130,广东奥飞数据科技股份有限公司,广东奥飞数据科技股份有限公司,2019,广东奥飞数据科技股份有限公司#2019,2020-03-18__广东奥飞数据科技股份有限公司__300738__奥飞数据__2019年__年度报告.pdf,data/2020-03-18__广东奥飞数据科技股份有限公司__300738__奥飞数据__2019年__年度报告.pdf,广东奥飞数据科技股份有限公司2019年证券简称是什么?
matched,131,金华春光橡塑科技股份有限公司,金华春光橡塑科技股份有限公司,2019,金华春光橡塑科技股份有限公司#2019,2020-04-15__金华春光橡塑科技股份有限公司__603657__春光科技__2019年__年度报告.pdf,data/2020-04-15__金华春光橡塑科技股份有限公司__603657__春光科技__2019年__年度报告.pdf,请提供2019年春光科技的电子信箱。
matched,138,桂林莱茵生物科技股份有限公司,桂林莱茵生物科技股份有限公司,2019,桂林莱茵生物科技股份有限公司#2019,2020-04-15__桂林莱茵生物科技股份有限公司__002166__莱茵生物__2019年__年度报告.pdf,data/2020-04-15__桂林莱茵生物科技股份有限公司__002166__莱茵生物__2019年__年度报告.pdf,桂林莱茵生物科技股份有限公司2019年技术人员数是什么?
matched,140,扬州海昌新材股份有限公司,扬州海昌新材股份有限公司,2021,扬州海昌新材股份有限公司#2021,2022-03-29__扬州海昌新材股份有限公司__300885__海昌新材__2021年__年度报告.pdf,data/2022-03-29__扬州海昌新材股份有限公司__300885__海昌新材__2021年__年度报告.pdf,海昌新材2021年每股净资产价值是多少元？
matched,147,紫光国芯微电子股份有限公司,紫光国芯微电子股份有限公司,2019,紫光国芯微电子股份有限公司#2019,2020-04-02__紫光国芯微电子股份有限公司__002049__紫光国微__2019年__年度报告.pdf,data/2020-04-02__紫光国芯微电子股份有限公司__002049__紫光国微__2019年__年度报告.pdf,紫光国微在2019年的注册地址是什么？
matched,149,福建福日电子股份有限公司,福建福日电子股份有限公司,2019,福建福日电子股份有限公司#2019,2020-04-10__福建福日电子股份有限公司__600203__福日电子__2019年__年度报告.pdf,data/2020-04-10__福建福日电子股份有限公司__600203__福日电子__2019年__年度报告.pdf,福建福日电子股份有限公司在2019年的技术人员数是多少？
matched,151,华自科技股份有限公司,华自科技股份有限公司,2020,华自科技股份有限公司#2020,2021-03-30__华自科技股份有限公司__300490__华自科技__2020年__年度报告.pdf,data/2021-03-30__华自科技股份有限公司__300490__华自科技__2020年__年度报告.pdf,华自科技股份有限公司2020年对联营企业和合营企业的投资收益是多少元?
matched,155,哈尔滨博实自动化股份有限公司,哈尔滨博实自动化股份有限公司,2020,哈尔滨博实自动化股份有限公司#2020,2021-04-22__哈尔滨博实自动化股份有限公司__002698__博实股份__2020年__年度报告.pdf,data/2021-04-22__哈尔滨博实自动化股份有限公司__002698__博实股份__2020年__年度报告.pdf,哈尔滨博实自动化股份有限公司2020年的利润总额是多少元?
matched,160,江苏中利集团股份有限公司,江苏中利集团股份有限公司,2021,江苏中利集团股份有限公司#2021,2022-04-27__江苏中利集团股份有限公司__002309__中利集团__2021年__年度报告.pdf,data/2022-04-27__江苏中利集团股份有限公司__002309__中利集团__2021年__年度报告.pdf,请问在2021年，中利集团的无形资产是多少元?
matched,172,杭州立昂微电子股份有限公司,杭州立昂微电子股份有限公司,2020,杭州立昂微电子股份有限公司#2020,2021-04-09__杭州立昂微电子股份有限公司__605358__立昂微__2020年__年度报告.pdf,data/2021-04-09__杭州立昂微电子股份有限公司__605358__立昂微__2020年__年度报告.pdf,2020年杭州立昂微电子股份有限公司的营业外支出是多少元？
matched,175,中文在线集团股份有限公司,中文在线集团股份有限公司,2021,中文在线集团股份有限公司#2021,2022-04-25__中文在线集团股份有限公司__300364__中文在线__2021年__年度报告.pdf,data/2022-04-25__中文在线集团股份有限公司__300364__中文在线__2021年__年度报告.pdf,请问中文在线在2021年的负债合计是多少元？
matched,176,常熟市天银机电股份有限公司,常熟市天银机电股份有限公司,2019,常熟市天银机电股份有限公司#2019,2020-03-25__常熟市天银机电股份有限公司__300342__天银机电__2019年__年度报告.pdf,data/2020-03-25__常熟市天银机电股份有限公司__300342__天银机电__2019年__年度报告.pdf,2019年天银机电外文名称是什么?
matched,178,百洋产业投资集团股份有限公司,百洋产业投资集团股份有限公司,2021,百洋产业投资集团股份有限公司#2021,2022-04-27__百洋产业投资集团股份有限公司__002696__百洋股份__2021年__年度报告.pdf,data/2022-04-27__百洋产业投资集团股份有限公司__002696__百洋股份__2021年__年度报告.pdf,百洋产业投资集团股份有限公司2021年的无形资产是多少元？
matched,182,北京四方继保自动化股份有限公司,北京四方继保自动化股份有限公司,2020,北京四方继保自动化股份有限公司#2020,2021-03-19__北京四方继保自动化股份有限公司__601126__四方股份__2020年__年度报告.pdf,data/2021-03-19__北京四方继保自动化股份有限公司__601126__四方股份__2020年__年度报告.pdf,北京四方继保自动化股份有限公司在2020年的博士及以上人数是多少？
matched,189,中国船舶重工股份有限公司,中国船舶重工股份有限公司,2021,中国船舶重工股份有限公司#2021,2022-04-29__中国船舶重工股份有限公司__601989__中国重工__2021年__年度报告.pdf,data/2022-04-29__中国船舶重工股份有限公司__601989__中国重工__2021年__年度报告.pdf,2021年中国船舶重工股份有限公司衍生金融资产是多少元?
matched,193,浙江亚厦装饰股份有限公司,浙江亚厦装饰股份有限公司,2019,浙江亚厦装饰股份有限公司#2019,2020-04-17__浙江亚厦装饰股份有限公司__002375__亚厦股份__2019年__年度报告.pdf,data/2020-04-17__浙江亚厦装饰股份有限公司__002375__亚厦股份__2019年__年度报告.pdf,2019年，亚厦股份财务费用是多少元?
matched,194,正源控股股份有限公司,正源控股股份有限公司,2019,正源控股股份有限公司#2019,2020-04-11__正源控股股份有限公司__600321__正源股份__2019年__年度报告.pdf,data/2020-04-11__正源控股股份有限公司__600321__正源股份__2019年__年度报告.pdf,正源股份2019年公司网址是什么?
matched,195,浙江众成包装材料股份有限公司,浙江众成包装材料股份有限公司,2020,浙江众成包装材料股份有限公司#2020,2021-03-25__浙江众成包装材料股份有限公司__002522__浙江众成__2020年__年度报告.pdf,data/2021-03-25__浙江众成包装材料股份有限公司__002522__浙江众成__2020年__年度报告.pdf,浙江众成2020年投资收益是多少元?
matched,198,广州维力医疗器械股份有限公司,广州维力医疗器械股份有限公司,2019,广州维力医疗器械股份有限公司#2019,2020-04-14__广州维力医疗器械股份有限公司__603309__维力医疗__2019年__年度报告.pdf,data/2020-04-14__广州维力医疗器械股份有限公司__603309__维力医疗__2019年__年度报告.pdf,2019年广州维力医疗器械股份有限公司的技术人员数是多少？
matched,199,深圳市昌红科技股份有限公司,深圳市昌红科技股份有限公司,2021,深圳市昌红科技股份有限公司#2021,2022-04-19__深圳市昌红科技股份有限公司__300151__昌红科技__2021年__年度报告.pdf,data/2022-04-19__深圳市昌红科技股份有限公司__300151__昌红科技__2021年__年度报告.pdf,根据2021年的年报数据，昌红科技的营业成本是多少元?
matched,204,山西兰花科技创业股份有限公司,山西兰花科技创业股份有限公司,2021,山西兰花科技创业股份有限公司#2021,2022-04-26__山西兰花科技创业股份有限公司__600123__兰花科创__2021年__年度报告.pdf,data/2022-04-26__山西兰花科技创业股份有限公司__600123__兰花科创__2021年__年度报告.pdf,2021年山西兰花科技创业股份有限公司货币资金是多少元?
matched,205,浙江臻镭科技股份有限公司,浙江臻镭科技股份有限公司,2021,浙江臻镭科技股份有限公司#2021,2022-04-07__浙江臻镭科技股份有限公司__688270__臻镭科技__2021年__年度报告.pdf,data/2022-04-07__浙江臻镭科技股份有限公司__688270__臻镭科技__2021年__年度报告.pdf,臻镭科技2021年的每股经营现金流量是多少元？
matched,206,上海凯利泰医疗科技股份有限公司,上海凯利泰医疗科技股份有限公司,2021,上海凯利泰医疗科技股份有限公司#2021,2022-04-28__上海凯利泰医疗科技股份有限公司__300326__凯利泰__2021年__年度报告.pdf,data/2022-04-28__上海凯利泰医疗科技股份有限公司__300326__凯利泰__2021年__年度报告.pdf,请问凯利泰在2021年的其他非流动金融资产是多少元？
